"","homedistrict","workdistrict","survey_year","telecommute_status","count","prop","prop_se","est","est_se"
"1","1","1","2023","Fully At Home",52,0.256137332689975,0.0659962301532346,29550.6325911702,8607.27847997458
"2","1","1","2023","Fully In Person",55,0.664500310858456,0.0709378630698885,76663.5786227392,15555.1468301568
"3","1","1","2023","Hybrid",19,0.0793623564515691,0.0339271421216136,9156.05629386485,3964.36566083368
"4","1","2","2023","Fully In Person",29,0.906499718353991,0.0406763314804018,32249.2989236228,9825.4697365252
"5","1","2","2023","Hybrid",12,0.0935002816460086,0.0406763314804018,3326.33146066523,1232.63194621826
"6","1","3","2023","Fully In Person",9,0.746283453508141,0.141449205322555,7250.74063262919,3730.58077329975
"7","1","3","2023","Hybrid",5,0.253716546491859,0.141449205322555,2465.05917312129,1334.75412082316
"8","1","4","2023","Fully In Person",1,0.253154268999239,0.206219142604705,1371.09278375195,1371.09278375216
"9","1","4","2023","Hybrid",12,0.746845731000761,0.206219142604705,4044.94380600065,1760.82125067446
"10","1","5","2023","Fully In Person",4,0.952492577656188,0.0539938239904289,1366.48586115035,889.379724250864
"11","1","5","2023","Hybrid",1,0.0475074223438116,0.0539938239904289,68.1561436334359,68.1561436334314
"12","1","6","2023","Fully In Person",19,0.665847330332673,0.113176804037129,19806.4946446937,7086.86313714485
"13","1","6","2023","Hybrid",17,0.334152669667327,0.113176804037129,9939.80565930828,3591.47013168212
"14","1",NA,"2023","Fully In Person",4,0.813999234108096,0.175390293603756,11321.0733145912,6618.44806923916
"15","1",NA,"2023","Hybrid",1,0.186000765891904,0.175390293603756,2586.89224632947,2586.89224633009
"16","10","10","2023","Fully At Home",27,0.175782278531626,0.0614239876145835,24338.5629059874,9196.34437189981
"17","10","10","2023","Fully In Person",56,0.768914294636235,0.0688361278729525,106462.773640461,21241.493403612
"18","10","10","2023","Hybrid",8,0.055303426832139,0.0373841934243487,7657.23339186619,5308.18883573271
"19","10","11","2023","Fully In Person",1,1,0,4509.27873997858,4509.27873997824
"20","10","3","2023","Fully In Person",1,1,0,4930.51679767534,4930.51679767687
"21","10","4","2023","Fully In Person",2,0.971114673262158,0.0343614030060768,9426.8323114666,6668.21595504008
"22","10","4","2023","Hybrid",1,0.0288853267378421,0.0343614030060768,280.396475222501,280.396475222465
"23","10","5","2023","Fully In Person",2,0.947720218007123,0.0595709028548207,5043.49083030309,4899.52474025272
"24","10","5","2023","Hybrid",2,0.0522797819928766,0.0595709028548207,278.217765202658,197.06000258068
"25","10","6","2023","Fully In Person",1,1,0,3756.89486105699,3756.89486105651
"26","10","7","2023","Fully In Person",16,0.713065062163568,0.14123054059758,23853.7922793434,8995.68616956905
"27","10","7","2023","Hybrid",10,0.286934937836432,0.14123054059758,9598.68428284672,5547.99992873404
"28","10","8","2023","Fully In Person",18,0.839762456621555,0.140286505426155,26841.4850775794,10252.7361539132
"29","10","8","2023","Hybrid",2,0.160237543378445,0.140286505426155,5121.70268573795,4967.86386004027
"30","10","9","2023","Hybrid",2,1,0,2746.58865129024,2603.02942430769
"31","10",NA,"2023","Fully In Person",1,0.32917873591591,0.270460015056902,141.892868978928,141.892868978964
"32","10",NA,"2023","Hybrid",2,0.67082126408409,0.270460015056902,289.158269801722,204.457793819463
"33","11","10","2023","Fully In Person",2,0.924965968956334,0.0944269943446366,1596.81382674666,1472.97473435639
"34","11","10","2023","Hybrid",1,0.0750340310436655,0.0944269943446366,129.534904275726,129.534904275766
"35","11","11","2023","Fully At Home",5,0.243849098227139,0.18163994098762,2310.54751836075,1791.13515957462
"36","11","11","2023","Fully In Person",7,0.713609707897922,0.189157940664938,6761.67823317454,4348.0100671043
"37","11","11","2023","Hybrid",3,0.0425411938749392,0.0316075236298122,403.091299703256,232.734617591522
"38","11","5","2023","Hybrid",1,1,0,1467.27892247093,1467.27892247016
"39","11","8","2023","Fully In Person",2,0.9414777668602,0.0660832656797674,4514.03874147423,4371.309662496
"40","11","8","2023","Hybrid",2,0.0585222331398001,0.0660832656797675,280.592529031938,198.529085677908
"41","11","9","2023","Hybrid",1,1,0,135.887819696186,135.887819696144
"42","11",NA,"2023","Fully In Person",1,1,0,4467.85445836161,4467.85445836078
"43","2","1","2023","Fully In Person",12,1,0,6204.60609882913,3740.56813704392
"44","2","2","2023","Fully At Home",38,0.330069964409466,0.086460484516264,23948.7381536242,7318.0653022537
"45","2","2","2023","Fully In Person",31,0.601543221132635,0.0899135476249492,43645.901306917,11659.8919462801
"46","2","2","2023","Hybrid",18,0.0683868144578984,0.0296010332405871,4961.91138003989,2071.3576580458
"47","2","3","2023","Fully In Person",15,0.931550669776315,0.05008704737837,15916.7423089694,6707.37193873726
"48","2","3","2023","Hybrid",5,0.0684493302236851,0.05008704737837,1169.54491659972,775.144678062983
"49","2","4","2023","Fully In Person",4,0.613595848928556,0.201092649604302,6804.90525829732,5007.15381886664
"50","2","4","2023","Hybrid",13,0.386404151071444,0.201092649604302,4285.3021969517,1806.76576341732
"51","2","5","2023","Fully In Person",3,0.867253564237753,0.141209515974042,8668.1025916759,6155.71525719248
"52","2","5","2023","Hybrid",1,0.132746435762247,0.141209515974042,1326.78581134205,1326.78581134222
"53","2","6","2023","Fully In Person",8,0.62893294254387,0.177932843987658,4533.74008619616,2715.14369507587
"54","2","6","2023","Hybrid",8,0.37106705745613,0.177932843987658,2674.88229548155,1261.67538283645
"55","2","7","2023","Fully In Person",1,0.432717025187309,0.347165932233761,286.892296544783,286.89229654472
"56","2","7","2023","Hybrid",1,0.567282974812691,0.347165932233761,376.109803778394,376.109803778453
"57","2",NA,"2023","Fully In Person",1,1,0,122.63872578798,122.638725788022
"58","3","1","2023","Fully In Person",8,0.736715906169902,0.197355567679025,1289.31262553226,604.018328017852
"59","3","1","2023","Hybrid",2,0.263284093830098,0.197355567679025,460.76853157923,416.126904047041
"60","3","10","2023","Fully In Person",1,1,0,558.415316542552,558.415316542503
"61","3","2","2023","Fully In Person",13,0.678775074942092,0.144748278404439,10625.8653555561,5044.05548555874
"62","3","2","2023","Hybrid",7,0.321224925057908,0.144748278404439,5028.60657163216,2332.79788723618
"63","3","3","2023","Fully At Home",160,0.279234772936128,0.0433128926370086,27069.8075799679,4569.67197387074
"64","3","3","2023","Fully In Person",133,0.452042868028019,0.0542959923130648,43822.312410261,7722.49761406804
"65","3","3","2023","Hybrid",88,0.268722359035854,0.0463012383555266,26050.7044844287,5168.59556067164
"66","3","4","2023","Fully In Person",54,0.309221272576961,0.0851347574289877,13832.6455723086,4749.55268872943
"67","3","4","2023","Hybrid",99,0.690778727423039,0.0851347574289877,30901.1641589278,6240.93067502159
"68","3","5","2023","Fully In Person",10,0.416425509291547,0.186798096200171,2341.34075012803,1423.88131064902
"69","3","5","2023","Hybrid",17,0.583574490708453,0.186798096200171,3281.13121157116,1541.91366946439
"70","3","6","2023","Fully In Person",17,0.610601301841699,0.146221434154872,8085.68805007037,3245.37208228535
"71","3","6","2023","Hybrid",23,0.389398698158301,0.146221434154872,5156.48491235579,2401.65796178797
"72","3","7","2023","Fully In Person",4,0.14468100019291,0.120295133151398,792.564318116987,610.532524105101
"73","3","7","2023","Hybrid",8,0.85531899980709,0.120295133151398,4685.44811655116,2777.47451442471
"74","3","8","2023","Fully In Person",1,1,0,25.7245906048712,25.7245906048736
"75","3","9","2023","Fully In Person",1,1,0,123.325953212376,123.325953212406
"76","3",NA,"2023","Hybrid",2,1,0,1967.42931732953,1937.71948224622
"77","4","1","2023","Fully In Person",1,0.503387668203994,0.353552115384365,28.6071163393372,28.6071163393445
"78","4","1","2023","Hybrid",1,0.496612331796006,0.353552115384365,28.2220794202705,28.2220794202601
"79","4","10","2023","Fully In Person",1,0.114305269134041,0.143180435740818,22.6811429329884,22.6811429329905
"80","4","10","2023","Hybrid",1,0.885694730865959,0.143180435740818,175.744906056854,175.744906056848
"81","4","2","2023","Fully In Person",4,0.60299077860356,0.20846514516544,116.434763668646,59.1543942749221
"82","4","2","2023","Hybrid",2,0.39700922139644,0.20846514516544,76.6606663117136,54.2085940127453
"83","4","3","2023","Fully In Person",26,0.559072873169372,0.139298043347503,1667.66494710039,684.45700594217
"84","4","3","2023","Hybrid",26,0.440927126830628,0.139298043347503,1315.24663229074,510.570748134249
"85","4","4","2023","Fully At Home",132,0.198077006821068,0.0433182576161361,17465.0151893512,4134.15425992352
"86","4","4","2023","Fully In Person",147,0.435603848806753,0.0594531782526432,38408.4349720728,7318.27431238174
"87","4","4","2023","Hybrid",175,0.366319144372179,0.0562441623779161,32299.4047784136,6123.64958888412
"88","4","5","2023","Fully In Person",23,0.61995843899348,0.180960287961891,5860.77084457743,2686.68860267212
"89","4","5","2023","Hybrid",17,0.38004156100652,0.180960287961891,3592.7190604758,2213.4880324393
"90","4","6","2023","Fully In Person",17,0.078121475318879,0.0368803963475215,935.825451743894,389.502652271885
"91","4","6","2023","Hybrid",50,0.921878524681121,0.0368803963475215,11043.2807789566,3291.56429166347
"92","4","7","2023","Fully In Person",13,0.696979357688832,0.20264623084705,4557.12780366148,2511.84453265994
"93","4","7","2023","Hybrid",12,0.303020642311168,0.20264623084705,1981.26928570543,1555.8532528546
"94","4","9","2023","Hybrid",1,1,0,52.6098459250322,52.6098459250318
"95","4",NA,"2023","Fully In Person",2,0.650183493946396,0.279332664178425,69.6433345226952,49.6446124256223
"96","4",NA,"2023","Hybrid",1,0.349816506053604,0.279332664178425,37.4700191245706,37.4700191245609
"97","5","1","2023","Fully In Person",1,1,0,1221.7688139301,1221.76881393034
"98","5","10","2023","Fully In Person",1,1,0,28.6167477313853,28.6167477313833
"99","5","3","2023","Fully In Person",15,0.926130914623904,0.0529595990342413,7929.17271713866,3396.13903749369
"100","5","3","2023","Hybrid",8,0.0738690853760956,0.0529595990342413,632.438381178519,407.737505506153
"101","5","4","2023","Fully In Person",35,0.621779250734177,0.106917522533889,20678.3672816231,6816.57617350513
"102","5","4","2023","Hybrid",50,0.378220749265823,0.106917522533889,12578.3990984173,3934.85626153481
"103","5","5","2023","Fully At Home",85,0.411540256360014,0.0776624708440087,23437.4847306011,5748.69177991647
"104","5","5","2023","Fully In Person",42,0.364766077569005,0.077188647615991,20773.6648873203,5621.0959784779
"105","5","5","2023","Hybrid",49,0.223693666070981,0.0633238414687784,12739.4994823651,4024.00322035189
"106","5","6","2023","Fully In Person",16,0.726454696389947,0.1558941375592,8447.92167363314,3556.59532010393
"107","5","6","2023","Hybrid",14,0.273545303610053,0.1558941375592,3181.05080822202,2105.33010365931
"108","5","7","2023","Fully In Person",20,0.771848363252566,0.110340597530904,10471.3782971462,3595.10129533768
"109","5","7","2023","Hybrid",22,0.228151636747434,0.110340597530904,3095.24799330787,1621.88060292294
"110","5","8","2023","Fully In Person",1,1,0,1214.64515487364,1214.64515487361
"111","5","9","2023","Fully In Person",1,1,0,37.1310848135024,37.1310848135079
"112","5",NA,"2023","Hybrid",2,1,7.85014912456266e-17,45.0881560944573,31.8808690904802
"113","6","1","2023","Fully In Person",8,0.938506514121744,0.0548329571418636,17769.8925790037,8889.3945006489
"114","6","1","2023","Hybrid",4,0.0614934858782559,0.0548329571418636,1164.33143715328,940.369845396145
"115","6","2","2023","Fully In Person",10,0.988369983831931,0.012371144350798,11758.0661381497,6865.21213002771
"116","6","2","2023","Hybrid",2,0.0116300161680693,0.012371144350798,138.35557688806,125.073813434443
"117","6","3","2023","Fully In Person",10,0.736058100814284,0.123908477438767,4556.56316066754,2451.52208361195
"118","6","3","2023","Hybrid",15,0.263941899185716,0.123908477438767,1633.93070880651,559.240712000526
"119","6","4","2023","Fully In Person",23,0.320069631467151,0.126655728923119,14175.3583591492,6808.37793745987
"120","6","4","2023","Hybrid",80,0.679930368532849,0.126655728923119,30112.9994402818,9889.67312711526
"121","6","5","2023","Fully In Person",12,0.775724700025669,0.159705656518444,21457.6068995878,9761.9613299031
"122","6","5","2023","Hybrid",12,0.224275299974331,0.159705656518444,6203.76175204565,4945.67981575019
"123","6","6","2023","Fully At Home",188,0.217718453187138,0.0413422456408659,57575.683729529,12109.1223161354
"124","6","6","2023","Fully In Person",180,0.372689070671373,0.0508889728524379,98557.6911295763,17011.2568289538
"125","6","6","2023","Hybrid",223,0.409592476141489,0.0521278181345427,108316.803280091,18269.918693448
"126","6","7","2023","Fully In Person",15,0.510557622903043,0.162524401811136,17392.2058068955,8054.07386005055
"127","6","7","2023","Hybrid",20,0.489442377096957,0.162524401811136,16672.9124612503,7611.08616508761
"128","6",NA,"2023","Fully In Person",3,0.959323839274912,0.047229909404499,4661.77238282375,4514.3075725446
"129","6",NA,"2023","Hybrid",3,0.040676160725088,0.0472299094044991,197.663182070862,143.499825327218
"130","7","1","2023","Hybrid",1,1,0,1029.75861770356,1029.7586177031
"131","7","10","2023","Fully In Person",3,1,0,7098.88339550256,5320.04055925233
"132","7","11","2023","Fully In Person",1,1,0,4901.94477716448,4901.94477716416
"133","7","3","2023","Fully In Person",3,0.510585388025725,0.33066839853184,5321.18306944472,4832.6798559519
"134","7","3","2023","Hybrid",2,0.489414611974275,0.33066839853184,5100.54695698647,4908.31817990554
"135","7","4","2023","Fully In Person",12,0.381097411960835,0.146260062349569,14372.3163067135,6622.30538191808
"136","7","4","2023","Hybrid",13,0.618902588039165,0.146260062349569,23340.656428432,9681.66569175044
"137","7","5","2023","Fully In Person",9,0.496737490019969,0.184911349901704,14650.6503937416,7406.82034661556
"138","7","5","2023","Hybrid",9,0.503262509980031,0.184911349901704,14843.0976886764,8011.96255000833
"139","7","6","2023","Fully In Person",12,0.73082148719587,0.154967476152607,25458.4109774897,10273.6893666074
"140","7","6","2023","Hybrid",5,0.26917851280413,0.154967476152607,9376.9235378822,6342.64982005216
"141","7","7","2023","Fully At Home",39,0.196169329348843,0.0577370994871084,36862.82395641,12000.753755822
"142","7","7","2023","Fully In Person",57,0.699484352584231,0.0673928699400518,131442.405574641,23594.7341406131
"143","7","7","2023","Hybrid",16,0.104346318066925,0.0452565403867046,19608.0598642435,8977.28783681685
"144","7","8","2023","Hybrid",1,1,0,4922.61322963291,4922.61322963316
"145","7",NA,"2023","Hybrid",1,1,0,3121.97419437579,3121.97419437539
"146","8","10","2023","Fully In Person",16,0.963576700180466,0.0256610577252312,25869.4526163438,10828.2461723837
"147","8","10","2023","Hybrid",6,0.0364232998195344,0.0256610577252312,977.868008468714,586.080081061957
"148","8","11","2023","Fully In Person",3,1,7.29740933703013e-17,258.026062716863,169.59851827093
"149","8","3","2023","Fully In Person",1,0.115911663217142,0.126518494093186,31.9326666075307,31.9326666075242
"150","8","3","2023","Hybrid",2,0.884088336782857,0.126518494093186,243.55873538978,176.324186169081
"151","8","4","2023","Hybrid",6,1,0,5432.93278005837,4945.26414971024
"152","8","5","2023","Fully In Person",2,0.51709739139434,0.346643230941875,4585.96322191139,4449.32551704749
"153","8","5","2023","Hybrid",2,0.48290260860566,0.346643230941875,4282.70116942398,4251.79933853056
"154","8","6","2023","Fully In Person",1,0.935904912834135,0.0848378859129998,1216.36745229755,1216.36745229699
"155","8","6","2023","Hybrid",1,0.0640950871658652,0.0848378859129998,83.3024560632367,83.302456063235
"156","8","7","2023","Fully In Person",12,0.950964968831132,0.0345910363531564,13338.9145265677,7445.93739194359
"157","8","7","2023","Hybrid",6,0.0490350311688677,0.0345910363531564,687.800403807786,335.906126719453
"158","8","8","2023","Fully At Home",29,0.24085009769733,0.0907897263020177,16553.3353284782,7165.41288187399
"159","8","8","2023","Fully In Person",50,0.662077585348693,0.0981601910334302,45503.790069119,12101.4911729138
"160","8","8","2023","Hybrid",16,0.0970723169539766,0.0534590706179857,6671.66270229548,3777.05242116179
"161","8",NA,"2023","Fully In Person",1,0.158526959026846,0.182759877040401,670.83217615404,670.83217615402
"162","8",NA,"2023","Hybrid",3,0.841473040973153,0.182759877040401,3560.82772744907,3334.42066256762
"163","9","10","2023","Fully In Person",1,0.520029216474805,0.353000982640006,47.9372333134499,47.937233313439
"164","9","10","2023","Hybrid",1,0.479970783525194,0.353000982640006,44.2445745442099,44.2445745442021
"165","9","11","2023","Fully In Person",1,1,0,45.7516693798323,45.7516693798314
"166","9","3","2023","Fully In Person",1,0.929071279241014,0.0931975574007522,1401.54982205591,1401.54982205608
"167","9","3","2023","Hybrid",1,0.0709287207589859,0.0931975574007522,106.999471600953,106.999471600923
"168","9","4","2023","Fully In Person",3,0.791908734783934,0.147426798790682,3930.50945602623,2970.23977586231
"169","9","4","2023","Hybrid",9,0.208091265216066,0.147426798790682,1032.82695305965,494.403416202156
"170","9","5","2023","Hybrid",3,1,0,1593.07631134271,1409.78492142432
"171","9","6","2023","Hybrid",3,1,0,309.952569245763,228.44996462906
"172","9","7","2023","Fully In Person",2,1,1.01587136668733e-16,746.662217404152,683.207563186813
"173","9","8","2023","Hybrid",1,1,0,46.4541182725161,46.4541182725089
"174","9","9","2023","Fully At Home",43,0.126759124794578,0.0435708294479347,12551.9705904584,4418.46469728929
"175","9","9","2023","Fully In Person",83,0.79337693704992,0.0609939427268808,78561.9496595367,14368.6612236884
"176","9","9","2023","Hybrid",20,0.0798639381555022,0.0474586437517419,7908.30486239625,4936.93291953777
"177","9",NA,"2023","Fully In Person",3,1,0,2817.59102504268,2727.75795616737
